????????, ????????? ??? (??), ??????? ??? ?????????? (??), ???????????? ??? ?????????? (??), ??????? ??? ??????? (??), ???????????? ??? ??????? (??)
RANDOM, 172375, 6257, 65341, 14641, 35002
ROUND_ROBIN, 166774, 3068, 59119, 10687, 27533
MIN_EXECUTION, 887743, 21, 71, 159783, 593087
MIN_QUEUE, 886835, 21, 66, 159389, 595580
K_MEANS, 160824, 19, 810, 58735, 70869
RANDOM, 161314, 9577, 55036, 11170, 34810
ROUND_ROBIN, 174216, 7990, 66458, 9342, 32408
MIN_EXECUTION, 741073, 21, 69, 185171, 644228
MIN_QUEUE, 742444, 21, 72, 120708, 455077
K_MEANS, 159907, 40, 1223, 49130, 65402
RANDOM, 146988, 4984, 44776, 21727, 39404
ROUND_ROBIN, 134549, 2191, 27989, 19400, 35518
MIN_EXECUTION, 742356, 22, 71, 141371, 649544
MIN_QUEUE, 740537, 22, 70, 125051, 521673
K_MEANS, 153452, 13, 865, 62220, 76540
RANDOM, 190337, 10062, 81235, 14130, 42159
ROUND_ROBIN, 178505, 8911, 68457, 12764, 38299
MIN_EXECUTION, 745282, 21, 68, 139679, 615171
MIN_QUEUE, 747406, 21, 70, 141517, 672398
K_MEANS, 179675, 21, 1137, 69004, 89909
RANDOM, 201600, 19742, 95737, 10294, 47514
ROUND_ROBIN, 178779, 14652, 71870, 6171, 35836
MIN_EXECUTION, 193767, 4, 67, 53501, 156673
MIN_QUEUE, 194680, 5, 70, 54163, 155937
K_MEANS, 149145, 156, 1620, 26961, 41329
RANDOM, 184806, 13245, 78694, 17897, 45895
ROUND_ROBIN, 173269, 9627, 66789, 14806, 34044
MIN_EXECUTION, 744700, 23, 85, 141415, 629220
MIN_QUEUE, 744895, 23, 70, 141241, 614671
K_MEANS, 147956, 45, 1397, 43431, 56707
RANDOM, 178459, 7344, 70676, 12905, 39794
ROUND_ROBIN, 199825, 6799, 92228, 11409, 25628
MIN_EXECUTION, 740927, 21, 70, 129423, 499416
MIN_QUEUE, 742183, 20, 70, 130018, 522615
K_MEANS, 156054, 27, 1428, 51107, 64891
RANDOM, 172215, 8886, 63965, 10193, 35273
ROUND_ROBIN, 154110, 7320, 44892, 9115, 34110
MIN_EXECUTION, 737984, 19, 65, 98919, 349556
MIN_QUEUE, 737755, 19, 70, 98951, 351032
K_MEANS, 176639, 25, 1112, 64302, 86371
RANDOM, 161232, 11999, 51191, 13417, 41553
ROUND_ROBIN, 156926, 11042, 46896, 12204, 36546
MIN_EXECUTION, 567950, 11, 66, 196491, 405375
MIN_QUEUE, 586502, 13, 68, 232500, 457407
K_MEANS, 183224, 21, 1139, 68208, 85980
RANDOM, 192463, 7818, 80278, 24840, 57747
ROUND_ROBIN, 199297, 4748, 87732, 21591, 41915
MIN_EXECUTION, 714406, 18, 63, 237606, 653219
MIN_QUEUE, 713471, 17, 69, 176906, 651518
K_MEANS, 189588, 8, 1423, 94355, 106920
RANDOM, 199616, 8073, 90079, 18355, 44979
ROUND_ROBIN, 183301, 4727, 72766, 16085, 37830
MIN_EXECUTION, 740991, 22, 69, 140432, 607090
MIN_QUEUE, 742382, 22, 71, 140474, 651184
K_MEANS, 180596, 7, 749, 80210, 94762
RANDOM, 201195, 12736, 93320, 13168, 36395
ROUND_ROBIN, 203442, 8626, 96192, 8369, 35598
MIN_EXECUTION, 212781, 4, 34, 66485, 160669
MIN_QUEUE, 227835, 4, 37, 63313, 193119
K_MEANS, 157559, 51, 1386, 46019, 66067
RANDOM, 194305, 12037, 82908, 12088, 43967
ROUND_ROBIN, 176714, 9221, 65896, 10367, 38224
MIN_EXECUTION, 597557, 12, 66, 217195, 465242
MIN_QUEUE, 641340, 13, 61, 240508, 532738
K_MEANS, 194062, 14, 1091, 77783, 99597
